"env_step","pdqn_SpaceInvaders-MinAtar - _step","pdqn_SpaceInvaders-MinAtar - _step__MIN","pdqn_SpaceInvaders-MinAtar - _step__MAX","pdqn_SpaceInvaders-MinAtar - model_loss","pdqn_SpaceInvaders-MinAtar - model_loss__MIN","pdqn_SpaceInvaders-MinAtar - model_loss__MAX"
"1019904","249","249","249","0.15981685519218444","0.1537657231092453","0.16517259180545807"
"1024000","250","250","250","0.1619619369506836","0.15534092485904694","0.16572977602481842"
"1028096","251","251","251","0.16233933568000794","0.15805178880691528","0.1664630025625229"
"1032192","252","252","252","0.159672574698925","0.15571433305740356","0.1657426953315735"
"1036288","253","253","253","0.15829786360263826","0.1532721072435379","0.1616821438074112"
"1040384","254","254","254","0.1579502046108246","0.14639480412006378","0.1690218150615692"
"1044480","255","255","255","0.15988148003816605","0.15518340468406677","0.16317079961299896"
"1048576","256","256","256","0.16209907978773117","0.15465353429317474","0.16773761808872223"
"1052672","257","257","257","0.15775623619556428","0.14762504398822784","0.16162756085395813"
"1056768","258","258","258","0.15897103548049926","0.15588343143463135","0.16193784773349762"
"1060864","259","259","259","0.15995378494262696","0.15559497475624084","0.16458696126937866"
"1064960","260","260","260","0.15901221930980683","0.15529975295066833","0.16392077505588531"
"1069056","261","261","261","0.15844047963619232","0.15379777550697327","0.16230453550815582"
"1073152","262","262","262","0.16160856932401657","0.15168608725070953","0.16631178557872772"
"1077248","263","263","263","0.15914756804704666","0.14862795174121857","0.16650165617465973"
"1081344","264","264","264","0.1600755289196968","0.1528162658214569","0.1653735637664795"
"1085440","265","265","265","0.15804727524518966","0.15157435834407806","0.16618612408638"
"1089536","266","266","266","0.15753257721662522","0.14707854390144348","0.16172653436660767"
"1093632","267","267","267","0.15973909497261046","0.1543693095445633","0.16463522613048553"
"1097728","268","268","268","0.15611908286809922","0.1504502296447754","0.16245655715465546"
"1101824","269","269","269","0.1558765947818756","0.1491982787847519","0.160377636551857"
"1105920","270","270","270","0.15809368193149567","0.15222667157649994","0.1636487990617752"
"1110016","271","271","271","0.1562655508518219","0.1495242416858673","0.16018448770046234"
"1114112","272","272","272","0.15758315175771714","0.1515570878982544","0.16493520140647888"
"1118208","273","273","273","0.15691302567720414","0.1528402864933014","0.16466465592384338"
"1122304","274","274","274","0.1588546261191368","0.15059781074523926","0.16477371752262115"
"1126400","275","275","275","0.16018344610929489","0.1560375988483429","0.1654687076807022"
"1130496","276","276","276","0.1594781130552292","0.1522182822227478","0.16599124670028687"
"1134592","277","277","277","0.16054656505584716","0.15414313971996307","0.1663098782300949"
"1138688","278","278","278","0.15833024084568023","0.1533813625574112","0.16307544708251953"
"1142784","279","279","279","0.1592325359582901","0.15185010433197021","0.16406665742397308"
"1146880","280","280","280","0.1569345101714134","0.15096668899059296","0.16349130868911743"
"1150976","281","281","281","0.15550387799739837","0.14691856503486633","0.16557922959327698"
"1155072","282","282","282","0.15494179874658584","0.15007202327251434","0.16140353679656982"
"1159168","283","283","283","0.15751807689666747","0.14901083707809448","0.1665213704109192"
"1163264","284","284","284","0.1542705252766609","0.14692911505699158","0.1589437574148178"
"1167360","285","285","285","0.15726580768823623","0.14995890855789185","0.16687197983264923"
"1171456","286","286","286","0.15507952272891998","0.1491597294807434","0.15983542799949646"
"1175552","287","287","287","0.15840991139411925","0.15286904573440552","0.16547642648220062"
"1179648","288","288","288","0.1523304834961891","0.14687632024288177","0.15569014847278595"
"1183744","289","289","289","0.1558393195271492","0.15084119141101837","0.1630360335111618"
"1187840","290","290","290","0.15804437845945357","0.14729225635528564","0.1678643375635147"
"1191936","291","291","291","0.15550995618104935","0.147394597530365","0.16442464292049408"
"1196032","292","292","292","0.1554747626185417","0.14807526767253876","0.1611662656068802"
"1200128","293","293","293","0.15519023835659027","0.15068309009075165","0.1639898270368576"
"1204224","294","294","294","0.15614155679941177","0.14922434091567993","0.16299694776535034"
"1208320","295","295","295","0.15381204038858415","0.1492900550365448","0.15793439745903015"
"1212416","296","296","296","0.15582139939069747","0.15060533583164215","0.16300120949745178"
"1216512","297","297","297","0.1557860180735588","0.14962667226791382","0.16459041833877563"
"1220608","298","298","298","0.15563827157020568","0.14969618618488312","0.16164837777614594"
"1224704","299","299","299","0.15613621324300767","0.14809902012348175","0.16309547424316406"
"1228800","300","300","300","0.15593080520629882","0.14881274104118347","0.16061381995677948"
"1232896","301","301","301","0.15259130746126176","0.14471331238746643","0.160678431391716"
"1236992","302","302","302","0.15599627643823624","0.15092690289020538","0.16107703745365143"
"1241088","303","303","303","0.15406534671783448","0.14588943123817444","0.16068750619888306"
"1245184","304","304","304","0.1555347889661789","0.15095698833465576","0.1599510759115219"
"1249280","305","305","305","0.15494827628135682","0.14566004276275635","0.15926861763000488"
"1253376","306","306","306","0.15199771523475647","0.13830499351024628","0.15929269790649414"
"1257472","307","307","307","0.15309426933526993","0.14084428548812866","0.16330303251743317"
"1261568","308","308","308","0.15431058257818223","0.14766553044319153","0.16014370322227478"
"1265664","309","309","309","0.15494750887155534","0.15121878683567047","0.16021087765693665"
"1269760","310","310","310","0.15333464741706848","0.1471642106771469","0.15684296190738678"
"1273856","311","311","311","0.15318756997585298","0.14515218138694763","0.15851560235023499"
"1277952","312","312","312","0.15192702263593674","0.14515872299671173","0.15668539702892303"
"1282048","313","313","313","0.15387490540742874","0.13960859179496765","0.1616038978099823"
"1286144","314","314","314","0.15155357867479324","0.14522965252399445","0.1587141752243042"
"1290240","315","315","315","0.1529581978917122","0.14497098326683044","0.16162331402301788"
"1294336","316","316","316","0.15565571337938308","0.15097253024578094","0.16141682863235474"
"1298432","317","317","317","0.1524079754948616","0.14082559943199158","0.16002751886844635"
"1302528","318","318","318","0.15207255482673646","0.14401759207248688","0.15777862071990967"
"1306624","319","319","319","0.15371709167957306","0.14695744216442108","0.15977472066879272"
"1310720","320","320","320","0.15402572304010392","0.14631515741348267","0.16355878114700317"
"1314816","321","321","321","0.15308061391115188","0.147889643907547","0.1581026315689087"
"1318912","322","322","322","0.1540070042014122","0.14620131254196167","0.16405469179153442"
"1323008","323","323","323","0.15277483314275742","0.14638355374336243","0.15655717253684998"
"1327104","324","324","324","0.15250502228736879","0.14264817535877228","0.15876786410808563"
"1331200","325","325","325","0.15195103436708451","0.14612120389938354","0.15559089183807373"
"1335296","326","326","326","0.15008042454719545","0.14092227816581726","0.1559838354587555"
"1339392","327","327","327","0.15460339039564133","0.14921332895755768","0.1603241264820099"
"1343488","328","328","328","0.14993891268968582","0.136928990483284","0.15746435523033142"
"1347584","329","329","329","0.15171323120594024","0.1463516801595688","0.1634366661310196"
"1351680","330","330","330","0.14953144639730453","0.1432119607925415","0.15859413146972656"
"1355776","331","331","331","0.15400041341781617","0.1477910280227661","0.15912958979606628"
"1359872","332","332","332","0.15241591334342958","0.14468832314014435","0.15954700112342834"
"1363968","333","333","333","0.15323293060064316","0.14603354036808014","0.1640470027923584"
"1368064","334","334","334","0.14742662906646728","0.14047963917255402","0.15378256142139435"
"1372160","335","335","335","0.15161927342414855","0.1454394906759262","0.15648651123046875"
"1376256","336","336","336","0.15318443775177001","0.1467386782169342","0.15776695311069489"
"1380352","337","337","337","0.15099263042211533","0.14653365314006805","0.15430712699890137"
"1384448","338","338","338","0.15093765556812286","0.14395472407341003","0.1569727659225464"
"1388544","339","339","339","0.14754805266857146","0.13293743133544922","0.15436792373657227"
"1392640","340","340","340","0.14670539647340775","0.13374698162078857","0.15379434823989868"
"1396736","341","341","341","0.14729828983545304","0.13911418616771698","0.1536947786808014"
"1400832","342","342","342","0.14869959950447081","0.14054682850837708","0.15377768874168396"
"1404928","343","343","343","0.15065119713544844","0.1439599096775055","0.15596990287303925"
"1409024","344","344","344","0.1492689460515976","0.14294694364070892","0.1535685956478119"
"1413120","345","345","345","0.15089644938707353","0.1455046832561493","0.15581130981445312"
"1417216","346","346","346","0.14776534140110015","0.13862736523151398","0.15356236696243286"
"1421312","347","347","347","0.14977083802223207","0.13944055140018463","0.15706183016300201"
"1425408","348","348","348","0.1493241310119629","0.13686169683933258","0.15546129643917084"
"1429504","349","349","349","0.15122807025909424","0.14407148957252502","0.15930359065532684"
"1433600","350","350","350","0.1504739835858345","0.14216101169586182","0.1586342453956604"
"1437696","351","351","351","0.14835492819547652","0.1436663717031479","0.1514280140399933"
"1441792","352","352","352","0.14554401338100434","0.14097250998020172","0.15032730996608734"
"1445888","353","353","353","0.14837256222963333","0.1425793617963791","0.15605378150939941"
